id;class_name;duration;level;instructor_name;type
1;auxiliary Chips;73348;ALLLEVELS;South Carolina;FUZE
2;software;44114;ADVANCED;Home Loan Account Cambridgeshire;ALL
3;Hawaii;57439;ALLLEVELS;mobile Unbranded Granite Table;SGT
4;New York Jewelery input;95870;BEGINNER;Implementation black Representative;ALL
5;Licensed Steel Car Central;60173;BEGINNER;navigating high-level Tasty;FITNESS
6;compressing cultivate;65144;INTERMEDIATE;Moroccan Dirham Paradigm;CYCLING
7;Tunisia monitoring;88134;ALLLEVELS;Grocery quantify Chief;SGT
8;Marshall Islands bleeding-edge Naira;59741;BEGINNER;bypass multi-state moratorium;SGT
9;innovate;68568;INTERMEDIATE;Human Ball;FITNESS
10;Libyan Arab Jamahiriya input;16313;ALLLEVELS;payment;CYCLING
